"meas_nu","station_number","station_name","date","W","Q","country"
"13","V10","Reykjafoss",1986-04-17,11.55,4.6,"iceland"
"30","V10","Reykjafoss",1996-03-23,11.6,5.2,"iceland"
"32","V10","Reykjafoss",1997-03-21,11.6,5.3,"iceland"
"61","V10","Reykjafoss",2007-08-09,11.6,5.2,"iceland"
"70","V10","Reykjafoss",2010-07-01,11.87,6.3,"iceland"
"18","V10","Reykjafoss",1989-04-03,11.9,6.2,"iceland"
"74","V10","Reykjafoss",2011-09-21,11.9,5.8,"iceland"
"17","V10","Reykjafoss",1988-07-30,11.95,5.7,"iceland"
"90","V10","Reykjafoss",2019-06-06,12.02,6.5,"iceland"
"67","V10","Reykjafoss",2009-07-22,12.07,6.7,"iceland"
"76","V10","Reykjafoss",2012-08-28,12.12,5.6,"iceland"
"22","V10","Reykjafoss",1992-04-14,12.15,7,"iceland"
"31","V10","Reykjafoss",1996-07-28,12.15,5.8,"iceland"
"84","V10","Reykjafoss",2016-07-14,12.16,6.7,"iceland"
"53","V10","Reykjafoss",2004-10-02,12.17,6.1,"iceland"
"35","V10","Reykjafoss",1998-03-27,12.19,7,"iceland"
"60","V10","Reykjafoss",2007-06-22,12.19,7.6,"iceland"
"52","V10","Reykjafoss",2004-07-25,12.2,7.2,"iceland"
"87","V10","Reykjafoss",2017-08-01,12.2,7.3,"iceland"
"41","V10","Reykjafoss",2000-08-23,12.23,6.3,"iceland"
"48","V10","Reykjafoss",2003-04-01,12.34,6.9,"iceland"
"49","V10","Reykjafoss",2003-07-02,12.34,6.4,"iceland"
"50","V10","Reykjafoss",2003-07-30,12.36,6.8,"iceland"
"59","V10","Reykjafoss",2006-10-01,12.39,7.2,"iceland"
"83","V10","Reykjafoss",2015-09-24,12.43,7.2,"iceland"
"85","V10","Reykjafoss",2016-09-15,12.47,7.6,"iceland"
"92","V10","Reykjafoss",2020-07-13,12.49,8.7,"iceland"
"58","V10","Reykjafoss",2006-08-21,12.51,7.8,"iceland"
"21","V10","Reykjafoss",1991-07-30,12.55,7.7,"iceland"
"27","V10","Reykjafoss",1994-10-26,12.55,7.9,"iceland"
"71","V10","Reykjafoss",2011-02-24,12.55,9.2,"iceland"
"54","V10","Reykjafoss",2005-05-11,12.56,8.4,"iceland"
"38","V10","Reykjafoss",1999-08-18,12.57,7.8,"iceland"
"73","V10","Reykjafoss",2011-07-12,12.6,8.9,"iceland"
"89","V10","Reykjafoss",2018-09-20,12.61,8.1,"iceland"
"56","V10","Reykjafoss",2006-02-20,12.63,8.1,"iceland"
"79","V10","Reykjafoss",2013-08-15,12.68,8.5,"iceland"
"91","V10","Reykjafoss",2019-08-14,12.68,8.3,"iceland"
"44","V10","Reykjafoss",2001-06-07,12.69,8.5,"iceland"
"29","V10","Reykjafoss",1995-07-22,12.7,8.5,"iceland"
"63","V10","Reykjafoss",2008-04-16,12.75,9.2,"iceland"
"39","V10","Reykjafoss",1999-10-31,12.77,9,"iceland"
"42","V10","Reykjafoss",2001-04-22,12.78,8.5,"iceland"
"68","V10","Reykjafoss",2009-10-01,12.8,9.4,"iceland"
