"meas_nu","station_number","station_name","date","W","Q","country"
"1","186","Mörrum",2018-01-04,13.118,94.284,"sweden"
"2","186","Mörrum",2016-09-10,11.278,8.46725,"sweden"
"3","186","Mörrum",2016-03-04,12.457,51.101,"sweden"
"4","186","Mörrum",2015-11-19,11.5105,13.9265,"sweden"
"5","186","Mörrum",2014-12-06,11.9175,27.05475,"sweden"
"6","186","Mörrum",2012-01-21,12.84,72.903,"sweden"
"7","186","Mörrum",2002-02-20,13.39789,115.25,"sweden"
"8","186","Mörrum",2000-05-10,12.06,30.85,"sweden"
"9","186","Mörrum",1999-11-13,11.693,17.1,"sweden"
"10","186","Mörrum",1997-02-27,12.058,33.041,"sweden"
"11","186","Mörrum",1996-08-08,11.372,11.536,"sweden"
"12","186","Mörrum",1995-02-23,13.132,93.296,"sweden"
"13","186","Mörrum",1994-04-15,12.881,75.65,"sweden"
"14","186","Mörrum",1989-05-20,11.554,15.7,"sweden"
"15","186","Mörrum",1981-02-12,12.798,65.05,"sweden"
"16","186","Mörrum",1980-04-19,11.808,21.868,"sweden"
"17","186","Mörrum",1978-04-15,12.498,49.3,"sweden"
"18","186","Mörrum",1976-03-20,11.489,12.9,"sweden"
"19","186","Mörrum",1976-03-01,11.528,14.538,"sweden"
"20","186","Mörrum",1973-09-17,11.411,12.5,"sweden"
"21","186","Mörrum",1972-09-18,11.432,12.58,"sweden"
"22","186","Mörrum",1966-04-15,13.258,91.7,"sweden"
"23","186","Mörrum",1964-06-13,11.425,11.2,"sweden"
"24","186","Mörrum",1963-09-15,11.392,11.78,"sweden"
"25","186","Mörrum",1962-11-24,12.074,32.1,"sweden"
"26","186","Mörrum",1959-10-14,11.133,5.37,"sweden"
"27","186","Mörrum",1959-07-24,11.463,15.2,"sweden"
"28","186","Mörrum",1958-02-06,12.099,32.7,"sweden"
"29","186","Mörrum",1956-08-30,11.382,11.3,"sweden"
"30","186","Mörrum",1953-12-08,11.176,6.46,"sweden"
"31","186","Mörrum",1953-12-08,11.176,6.89,"sweden"
"32","186","Mörrum",1953-12-08,11.186,6.54,"sweden"
"33","186","Mörrum",1953-09-26,11.511,14.5,"sweden"
"34","186","Mörrum",1948-12-09,11.91,25.5,"sweden"
"35","186","Mörrum",1947-11-21,11.523,13.8,"sweden"
"36","186","Mörrum",1944-01-06,12.19,38.7,"sweden"
"37","186","Mörrum",1942-06-27,11.415,12.5,"sweden"
"38","186","Mörrum",1939-06-10,11.557,13,"sweden"
"39","186","Mörrum",1939-06-08,11.582,13.7,"sweden"
"40","186","Mörrum",1930-08-21,11.62,17.1,"sweden"
"41","186","Mörrum",1930-08-18,11.71,19.2,"sweden"
"42","186","Mörrum",1928-12-07,13.52,136,"sweden"
"43","186","Mörrum",1926-04-14,12.3,42.3,"sweden"
"44","186","Mörrum",1924-10-27,11.88,26.6,"sweden"
"45","186","Mörrum",1924-06-04,13.12,95.2,"sweden"
"46","186","Mörrum",1924-06-02,13.18,101.8,"sweden"
"47","186","Mörrum",1922-11-06,11.45,12.7,"sweden"
"48","186","Mörrum",1920-02-18,12.17,35.06,"sweden"
"49","186","Mörrum",1916-02-14,12.575,52.7,"sweden"
"50","186","Mörrum",1915-10-14,11.53,16.1,"sweden"
"51","186","Mörrum",1911-02-05,12.48,49.1,"sweden"
"52","186","Mörrum",1909-08-03,12.07,33.62,"sweden"
"53","257","Munkedal 2",2019-11-10,1.813,21.364,"sweden"
"54","257","Munkedal 2",2019-11-10,1.813,21.37371,"sweden"
"55","257","Munkedal 2",2018-08-16,1.131,1.269,"sweden"
"56","257","Munkedal 2",2018-05-09,1.948,28.686,"sweden"
"57","257","Munkedal 2",2018-01-28,2.977,109.9745,"sweden"
"58","257","Munkedal 2",2017-11-17,1.893,25.294,"sweden"
"59","257","Munkedal 2",2017-04-29,1.481,9.017,"sweden"
"60","257","Munkedal 2",2017-04-29,1.481,8.903,"sweden"
"61","257","Munkedal 2",2015-12-10,3.004,119.809,"sweden"
"62","257","Munkedal 2",2015-11-29,2.275,51.366,"sweden"
"63","257","Munkedal 2",2013-09-28,1.267,3.37675,"sweden"
"64","257","Munkedal 2",2012-10-05,3.07,116.6778,"sweden"
"65","257","Munkedal 2",2006-04-12,3.06375,121.9556,"sweden"
"66","257","Munkedal 2",2004-10-30,2.583857,74.84,"sweden"
"67","257","Munkedal 2",2003-12-12,1.61,13.07,"sweden"
"68","257","Munkedal 2",2000-01-13,4.096,234.5,"sweden"
"69","257","Munkedal 2",1999-09-10,1.3,3.79,"sweden"
"70","257","Munkedal 2",1999-09-10,1.42,6.02,"sweden"
"71","257","Munkedal 2",1997-03-01,3.66,147.4,"sweden"
"72","257","Munkedal 2",1992-08-23,1.12,1.221,"sweden"
"73","257","Munkedal 2",1992-07-11,1.139,1.436,"sweden"
"74","257","Munkedal 2",1991-05-26,1.222,2.69,"sweden"
"75","257","Munkedal 2",1990-02-09,2.801,88.833,"sweden"
"76","257","Munkedal 2",1989-03-01,2.9,99.5,"sweden"
"77","257","Munkedal 2",1988-09-10,2.375,49.727,"sweden"
"78","257","Munkedal 2",1988-04-24,2.736,77.3,"sweden"
"79","257","Munkedal 2",1988-03-26,1.681,15.2,"sweden"
"80","257","Munkedal 2",1988-03-26,1.681,15.74,"sweden"
"81","257","Munkedal 2",1988-01-17,2.519,65.68,"sweden"
"82","257","Munkedal 2",1988-01-17,2.391,56.593,"sweden"
"83","257","Munkedal 2",1986-11-20,2.262,44.67,"sweden"
"84","257","Munkedal 2",1985-10-20,1.505,9.54,"sweden"
"85","257","Munkedal 2",1970-05-01,2.857,86.7,"sweden"
"86","257","Munkedal 2",1970-04-26,3.547,182,"sweden"
"87","257","Munkedal 2",1966-03-15,2.786,91.8,"sweden"
"120","855","Getebro",2018-08-30,62.374,0.049,"sweden"
"121","855","Getebro",2018-05-27,63.051,5.982,"sweden"
"122","855","Getebro",2018-01-26,63.707,24.355,"sweden"
"123","855","Getebro",2018-01-14,63.885,33.937,"sweden"
"124","855","Getebro",2017-08-04,62.584,0.6515,"sweden"
"125","855","Getebro",2017-03-16,63.262,11.96,"sweden"
"126","855","Getebro",2016-06-17,62.806,2.4635,"sweden"
"127","855","Getebro",2015-09-25,62.642,0.94975,"sweden"
"128","855","Getebro",2015-02-27,63.472,18.0835,"sweden"
"129","855","Getebro",2015-01-29,63.485,17.038,"sweden"
"130","855","Getebro",2014-06-18,62.961,4.04767,"sweden"
"131","855","Getebro",2014-04-10,63.212,9.609,"sweden"
"132","855","Getebro",2012-01-20,63.632,23.336,"sweden"
"133","855","Getebro",2005-10-29,62.721,1.490513,"sweden"
"134","855","Getebro",2003-12-11,62.906,3.56,"sweden"
"135","855","Getebro",2003-06-04,63.17852,9.066005,"sweden"
"136","855","Getebro",2002-02-16,64.09,50.04,"sweden"
"137","855","Getebro",2001-11-08,63.281,12.4992,"sweden"
"138","855","Getebro",1997-08-23,62.982,4.893,"sweden"
"139","855","Getebro",1992-08-12,62.485,0.208,"sweden"
"140","855","Getebro",1985-06-08,63.284,13.3,"sweden"
"141","855","Getebro",1982-04-03,63.752,29.818,"sweden"
"142","855","Getebro",1977-03-30,64.465,74.2,"sweden"
"143","855","Getebro",1970-08-21,62.793,2.21,"sweden"
"144","855","Getebro",1967-09-15,62.574,0.672,"sweden"
"145","855","Getebro",1966-04-07,64.046,46.1,"sweden"
"146","855","Getebro",1961-10-05,63.09,6.82,"sweden"
"147","855","Getebro",1960-12-12,64.04,41.4,"sweden"
"148","855","Getebro",1959-10-25,62.534,0.498,"sweden"
"149","855","Getebro",1958-02-01,63.162,8.46,"sweden"
"150","855","Getebro",1954-04-29,63.589,23,"sweden"
"151","855","Getebro",1952-05-24,63.55,22.1,"sweden"
